Date,Price,Open,High,Low,Vol.,Change %
2022-04-24,103.37,101.12,103.93,101.04,-,2.12%
2022-04-17,101.22,100.5,101.33,99.82,-,0.90%
2022-04-10,100.32,99.84,100.76,99.57,-,0.53%
2022-04-03,99.8,98.57,100.19,98.52,-,1.18%
2022-03-27,98.63,98.81,99.37,97.68,-,-0.16%
2022-03-20,98.79,98.24,98.96,98.16,-,0.57%
2022-03-13,98.23,99.13,99.29,97.73,-,-0.90%
2022-03-06,99.12,98.51,99.42,97.71,-,0.48%
2022-02-27,98.65,96.54,98.92,96.54,-,2.10%
2022-02-20,96.61,96.11,97.74,95.69,-,0.60%
2022-02-13,96.04,96.03,96.43,95.68,-,-0.04%
2022-02-06,96.08,95.48,96.11,95.17,-,0.63%
2022-01-30,95.49,97.22,97.3,95.14,-,-1.84%
2022-01-23,97.27,95.64,97.44,95.63,-,1.70%
2022-01-16,95.64,95.17,95.86,95.04,-,0.50%
2022-01-09,95.17,95.74,96.23,94.63,-,-0.58%
2022-01-02,95.72,95.67,96.46,95.63,-,-0.26%
2021-12-26,95.97,96.15,96.39,95.57,-,-0.05%
2021-12-19,96.02,96.67,96.69,95.99,-,-0.57%
2021-12-12,96.57,96.05,96.91,95.85,-,0.49%
2021-12-05,96.1,96.15,96.59,95.85,-,-0.02%
2021-11-28,96.12,96.07,96.64,95.52,-,0.03%
2021-11-21,96.09,96.07,96.94,95.75,-,0.06%
2021-11-14,96.03,95.12,96.24,94.97,-,0.95%
2021-11-07,95.13,94.25,95.26,93.88,-,0.86%
2021-10-31,94.32,94.13,94.62,93.82,-,0.21%
2021-10-24,94.12,93.66,94.3,93.28,-,0.51%
2021-10-17,93.64,93.95,94.17,93.5,-,-0.31%
2021-10-10,93.94,94.1,94.56,93.76,-,-0.14%
2021-10-03,94.07,94.07,94.45,93.68,-,0.03%
2021-09-26,94.04,93.28,94.5,93.21,-,0.76%
2021-09-19,93.33,93.25,93.52,92.98,-,0.14%
2021-09-12,93.19,92.61,93.25,92.32,-,0.66%
2021-09-05,92.58,92.12,92.86,92.04,-,0.59%
2021-08-29,92.04,92.68,92.79,91.95,-,-0.70%
2021-08-22,92.69,93.46,93.5,92.63,-,-0.87%
2021-08-15,93.5,92.52,93.73,92.48,-,1.06%
2021-08-08,92.52,92.78,93.19,92.47,-,-0.30%
2021-08-01,92.8,92.09,92.84,91.82,-,0.68%
2021-07-25,92.17,92.91,92.96,91.78,-,-0.79%
2021-07-18,92.91,92.71,93.19,92.51,-,0.24%
2021-07-11,92.69,92.1,92.83,92.08,-,0.60%
2021-07-04,92.13,92.24,92.84,92.0,-,-0.10%
2021-06-27,92.23,91.81,92.74,91.7,-,0.41%
2021-06-20,91.85,92.32,92.37,91.51,-,-0.41%
2021-06-13,92.22,90.51,92.4,90.35,-,1.84%
2021-06-06,90.56,90.13,90.61,89.84,-,0.46%
2021-05-30,90.14,90.06,90.63,89.66,-,0.12%
2021-05-23,90.03,90.03,90.44,89.53,-,0.01%
2021-05-16,90.02,90.3,90.43,89.65,-,-0.33%
2021-05-09,90.32,90.23,90.91,89.98,-,0.10%
2021-05-02,90.23,91.3,91.44,90.19,-,-1.15%
2021-04-25,91.28,90.83,91.32,90.42,-,0.46%
2021-04-18,90.86,91.54,91.75,90.81,-,-0.76%
2021-04-11,91.56,92.18,92.33,91.49,-,-0.65%
2021-04-04,92.16,93.01,93.11,92.0,-,-0.92%
2021-03-28,93.02,92.72,93.44,92.72,-,0.27%
2021-03-21,92.77,92.07,92.92,91.71,-,0.92%
2021-03-14,91.92,91.66,92.17,91.3,-,0.26%
2021-03-07,91.68,91.98,92.5,91.36,-,-0.33%
2021-02-28,91.98,90.93,92.19,90.63,-,1.21%
2021-02-21,90.88,90.34,90.97,89.68,-,0.58%
2021-02-14,90.36,90.45,91.06,90.12,-,-0.13%
2021-02-07,90.48,91.0,91.23,90.25,-,-0.62%
2021-01-31,91.04,90.53,91.6,90.5,-,0.51%
2021-01-24,90.58,90.23,90.88,90.08,-,0.38%
2021-01-17,90.24,90.78,90.95,90.05,-,-0.58%
2021-01-10,90.77,90.07,90.8,89.92,-,0.74%
2021-01-03,90.1,89.93,90.25,89.21,-,0.18%
2020-12-27,89.94,90.22,90.38,89.52,-,-0.42%
2020-12-20,90.32,89.92,91.02,89.92,-,0.33%
2020-12-13,90.02,90.98,90.98,89.73,-,-1.06%
2020-12-06,90.98,90.81,91.24,90.62,-,0.31%
2020-11-29,90.7,91.78,92.05,90.48,-,-1.19%
2020-11-22,91.79,92.4,92.8,91.76,-,-0.65%
2020-11-15,92.39,92.72,92.84,92.21,-,-0.39%
2020-11-08,92.75,92.23,93.21,92.13,-,0.56%
2020-11-01,92.23,93.89,94.3,92.18,-,-1.92%
2020-10-25,94.04,92.76,94.1,92.74,-,1.37%
2020-10-18,92.77,93.72,93.77,92.47,-,-0.97%
2020-10-11,93.68,93.06,93.9,93.01,-,0.67%
2020-10-04,93.06,93.81,93.9,93.0,-,-0.83%
2020-09-27,93.84,94.58,94.64,93.53,-,-0.85%
2020-09-20,94.64,93.0,94.74,92.75,-,1.84%
2020-09-13,92.93,93.29,93.59,92.77,-,-0.43%
2020-09-06,93.33,92.97,93.66,92.7,-,0.66%
2020-08-30,92.72,92.3,93.24,91.75,-,0.38%
2020-08-23,92.37,93.2,93.36,92.2,-,-0.94%
2020-08-16,93.25,93.09,93.47,92.13,-,0.16%
2020-08-09,93.1,93.39,93.91,92.93,-,-0.36%
2020-08-02,93.44,93.45,93.99,92.52,-,0.10%
2020-07-26,93.35,94.35,94.42,92.55,-,-1.15%
2020-07-19,94.44,96.01,96.18,94.33,-,-1.56%
2020-07-12,95.94,96.66,96.7,95.78,-,-0.73%
2020-07-05,96.65,97.15,97.19,96.23,-,-0.54%
2020-06-28,97.17,97.5,97.8,96.81,-,-0.27%
2020-06-21,97.43,97.66,97.74,96.39,-,-0.19%
2020-06-14,97.62,97.09,97.72,96.43,-,0.31%
2020-06-07,97.32,96.84,97.45,95.72,-,0.39%
2020-05-31,96.94,98.3,98.32,96.44,-,-1.42%
2020-05-24,98.34,99.8,99.97,97.94,-,-1.52%
2020-05-17,99.86,100.36,100.47,99.0,-,-0.54%
2020-05-10,100.4,99.12,100.56,99.12,-,0.67%
2020-05-03,99.73,98.56,100.4,98.56,-,0.66%
2020-04-26,99.08,100.23,100.32,98.64,-,-1.30%
2020-04-19,100.38,99.71,100.87,99.65,-,0.60%
2020-04-12,99.78,99.49,100.3,98.82,-,0.26%
2020-04-05,99.52,100.66,100.93,99.36,-,-1.05%
2020-03-29,100.58,98.31,100.85,98.29,-,2.26%
2020-03-22,98.36,101.95,102.98,98.27,-,-4.34%
2020-03-15,102.82,98.7,102.99,97.45,-,4.12%
2020-03-08,98.75,96.11,98.81,94.65,-,2.92%
2020-03-01,95.95,98.12,98.12,95.71,-,-2.22%
2020-02-23,98.13,99.34,99.64,97.96,-,-1.14%
2020-02-16,99.26,99.16,99.91,99.0,-,0.14%
2020-02-09,99.12,98.7,99.17,98.6,-,0.45%
2020-02-02,98.68,97.37,98.72,97.37,-,1.32%
2020-01-26,97.39,97.88,98.19,97.35,-,-0.47%
2020-01-19,97.85,97.64,97.95,97.39,-,0.22%
2020-01-12,97.64,97.35,97.66,97.08,-,0.29%
2020-01-05,97.36,96.9,97.58,96.54,-,0.54%
2019-12-29,96.84,97.02,97.11,96.36,-,-0.08%
2019-12-22,96.92,97.67,97.82,96.92,-,-0.79%
2019-12-15,97.69,97.18,97.76,96.93,-,0.54%
2019-12-08,97.17,97.68,97.72,96.59,-,-0.54%
2019-12-01,97.7,98.27,98.38,97.36,-,-0.58%
2019-11-24,98.27,98.27,98.54,98.17,-,0.00%
2019-11-17,98.27,97.98,98.31,97.68,-,0.28%
2019-11-10,98.0,98.37,98.45,97.96,-,-0.36%
2019-11-03,98.35,97.22,98.4,97.17,-,1.14%
2019-10-27,97.24,97.85,98.0,97.11,-,-0.60%
2019-10-20,97.83,97.34,97.9,97.15,-,0.57%
2019-10-13,97.28,98.36,98.64,97.14,-,-1.04%
2019-10-06,98.3,98.82,99.25,98.2,-,-0.52%
2019-09-29,98.81,99.12,99.67,98.64,-,-0.30%
2019-09-22,99.11,98.51,99.31,98.29,-,0.61%
2019-09-15,98.51,98.12,98.74,98.03,-,0.25%
2019-09-08,98.26,98.42,99.1,97.86,-,-0.13%
2019-09-01,98.39,98.83,99.37,98.01,-,-0.54%
2019-08-25,98.92,97.59,99.02,97.48,-,1.31%
2019-08-18,97.64,98.17,98.45,97.17,-,-0.51%
2019-08-11,98.14,97.53,98.34,97.32,-,0.67%
2019-08-04,97.49,98.11,98.14,97.03,-,-0.59%
2019-07-28,98.07,97.99,98.93,97.9,-,0.06%
2019-07-21,98.01,97.14,98.09,97.13,-,0.89%
2019-07-14,97.15,96.84,97.44,96.67,-,0.35%
2019-07-07,96.81,97.23,97.59,96.72,-,-0.49%
2019-06-30,97.29,96.25,97.44,96.25,-,1.21%
2019-06-23,96.13,96.18,96.39,95.84,-,-0.09%
2019-06-16,96.22,97.52,97.77,96.09,-,-1.38%
2019-06-09,97.57,96.64,97.58,96.58,-,1.07%
2019-06-02,96.54,97.64,97.8,96.46,-,-1.24%
2019-05-26,97.75,97.57,98.28,97.55,-,0.14%
2019-05-19,97.61,97.96,98.37,97.55,-,-0.40%
2019-05-12,98.0,97.3,98.03,97.03,-,0.69%
2019-05-05,97.33,97.56,97.74,97.13,-,-0.19%
2019-04-28,97.52,98.03,98.1,97.15,-,-0.50%
2019-04-21,98.01,97.38,98.33,97.26,-,0.65%
2019-04-14,97.38,96.92,97.48,96.79,-,0.42%
2019-04-07,96.97,97.39,97.4,96.75,-,-0.43%
2019-03-31,97.39,97.18,97.52,96.96,-,0.11%
2019-03-24,97.28,96.64,97.34,96.41,-,0.65%
2019-03-17,96.65,96.56,96.81,95.74,-,0.06%
2019-03-10,96.59,97.39,97.45,96.39,-,-0.74%
2019-03-03,97.31,96.34,97.71,96.33,-,0.81%
2019-02-24,96.53,96.52,96.6,95.82,-,0.02%
2019-02-17,96.51,96.81,97.08,96.29,-,-0.40%
2019-02-10,96.9,96.66,97.37,96.62,-,0.27%
2019-02-03,96.64,95.6,96.69,95.57,-,1.11%
2019-01-27,95.58,95.79,95.98,95.16,-,-0.22%
2019-01-20,95.79,96.35,96.68,95.74,-,-0.57%
2019-01-13,96.34,95.65,96.39,95.47,-,0.70%
2019-01-06,95.67,96.16,96.16,95.03,-,-0.53%
2018-12-30,96.18,96.4,96.96,95.65,-,-0.23%
2018-12-23,96.4,96.94,97.12,96.19,-,-0.58%
2018-12-16,96.96,97.43,97.46,96.17,-,-0.49%
2018-12-09,97.44,96.72,97.71,96.36,-,0.96%
2018-12-02,96.51,97.13,97.2,96.38,-,-0.78%
2018-11-25,97.27,96.93,97.54,96.63,-,0.36%
2018-11-18,96.92,96.43,96.98,96.04,-,0.47%
2018-11-11,96.47,97.05,97.69,96.4,-,-0.45%
2018-11-04,96.91,96.44,97.01,95.68,-,0.38%
2018-10-28,96.54,96.44,97.2,95.99,-,0.19%
2018-10-21,96.36,95.66,96.86,95.47,-,0.68%
2018-10-14,95.71,95.35,96.09,94.79,-,0.51%
2018-10-07,95.22,95.62,96.16,94.95,-,-0.42%
2018-09-30,95.62,95.11,96.12,95.0,-,0.52%
2018-09-23,95.13,94.23,95.37,93.84,-,0.97%
2018-09-16,94.22,94.93,94.98,93.81,-,-0.75%
2018-09-09,94.93,95.43,95.56,94.36,-,-0.45%
2018-09-02,95.36,95.19,95.74,94.87,-,0.23%
2018-08-26,95.14,95.17,95.3,94.43,-,-0.01%
2018-08-19,95.15,96.13,96.4,94.93,-,-0.99%
2018-08-12,96.1,96.32,96.98,96.09,-,-0.27%
2018-08-05,96.36,95.2,96.45,94.99,-,1.28%
2018-07-29,95.14,94.66,95.37,94.16,-,0.50%
2018-07-22,94.67,94.43,94.91,94.08,-,0.23%
2018-07-15,94.45,94.69,95.65,94.3,-,-0.32%
2018-07-08,94.75,93.97,95.24,93.71,-,0.75%
2018-07-01,94.04,94.63,95.14,93.92,-,-0.63%
2018-06-24,94.64,94.5,95.53,94.17,-,0.13%
2018-06-17,94.52,94.79,95.53,94.43,-,-0.28%
2018-06-10,94.79,93.54,95.13,93.19,-,1.33%
2018-06-03,93.55,94.16,94.32,93.21,-,-0.68%
2018-05-27,94.19,94.25,95.03,93.72,-,0.00%
2018-05-20,94.19,93.69,94.3,93.29,-,0.59%
2018-05-13,93.64,92.55,93.83,92.24,-,1.19%
2018-05-06,92.54,92.57,93.42,92.37,-,-0.03%
2018-04-29,92.57,91.53,92.9,91.48,-,1.13%
2018-04-22,91.54,90.35,91.99,90.32,-,1.35%
2018-04-15,90.32,89.77,90.48,89.23,-,0.58%
2018-04-08,89.8,90.07,90.27,89.36,-,-0.34%
2018-04-01,90.11,89.97,90.6,89.82,-,0.16%
2018-03-25,89.97,89.47,90.18,88.94,-,0.55%
2018-03-18,89.48,90.2,90.44,89.4,-,-0.83%
2018-03-11,90.23,90.11,90.38,89.56,-,0.16%
2018-03-04,90.09,89.83,90.36,89.41,-,0.17%
2018-02-25,89.94,89.96,90.93,89.5,-,0.07%
